Number of elements, Time taken (seconds)
100000, 37.141419
150000, 83.704151
200000, 150.295273
250000, 232.364396
300000, 335.145260
350000, 456.067412
400000, 595.066376
450000, 752.672821
500000, 929.942960
550000, 1126.393964
600000, 1340.760425
650000, 1572.857979
700000, 1825.394425
750000, 2095.521770
800000, 2384.772028
850000, 2695.199744
900000, 3019.106018
950000, 3365.035194
1000000, 3744.464405
