Number of elements, Number of comparisons
100000, 4999853420
150000, 11249810519
200000, 19999864222
250000, 31249665372
300000, 44999331329
350000, 61249817497
400000, 79999407945
450000, 101249764122
500000, 124998683470
550000, 151248700404
600000, 179999678055
650000, 211249334275
700000, 244999265874
750000, 281249050944
800000, 319999342597
850000, 361249354884
900000, 404999095419
950000, 451248551290
1000000, 499998782997
