Number of elements, Time taken (seconds)
100, 0.000012
150, 0.000015
200, 0.000025
250, 0.000029
300, 0.000035
350, 0.000038
400, 0.000042
450, 0.000052
500, 0.000056
550, 0.000091
600, 0.000096
650, 0.000127
700, 0.000100
750, 0.000108
800, 0.000134
850, 0.000138
900, 0.000116
950, 0.000153
1000, 0.000159
