Number of elements, Number of comparisons
100, 1822
150, 2882
200, 4007
250, 5439
300, 8071
350, 7953
400, 9724
450, 10905
500, 12785
550, 13384
600, 17165
650, 18181
700, 18511
750, 21744
800, 22245
850, 24302
900, 24005
950, 26868
1000, 30275
