Number of elements, Number of comparisons
100000, 1536415
150000, 2392391
200000, 3273010
250000, 4168493
300000, 5084267
350000, 6011745
400000, 6946044
450000, 7889312
500000, 8836813
550000, 9797243
600000, 10769558
650000, 11743579
700000, 12723240
750000, 13706275
800000, 14691543
850000, 15684333
900000, 16678701
950000, 17675500
1000000, 18675065
