Number of elements, Time taken (seconds)
100000, 0.025125
150000, 0.034525
200000, 0.045104
250000, 0.056888
300000, 0.070696
350000, 0.081916
400000, 0.095596
450000, 0.107803
500000, 0.120574
550000, 0.132309
600000, 0.147058
650000, 0.157357
700000, 0.170088
750000, 0.183772
800000, 0.197126
850000, 0.212499
900000, 0.221808
950000, 0.236588
1000000, 0.251043
