Number of elements, Number of comparisons
100000, 10000099998
150000, 22500149998
200000, 40000199998
250000, 62500249998
300000, 90000299998
350000, 122500349998
400000, 160000399998
450000, 202500449998
500000, 250000499998
550000, 302500549998
600000, 360000599998
650000, 422500649998
700000, 490000699998
750000, 562500749998
800000, 640000799998
850000, 722500849998
900000, 810000899998
950000, 902500949998
1000000, 1000000999998
