Number of elements, Time taken (seconds)
100, 0.000022
150, 0.000050
200, 0.000082
250, 0.000118
300, 0.000154
350, 0.000211
400, 0.000277
450, 0.000364
500, 0.000427
550, 0.000532
600, 0.000567
650, 0.000886
700, 0.000763
750, 0.000876
800, 0.000985
850, 0.001148
900, 0.001335
950, 0.001583
1000, 0.001586
