Number of elements, Number of comparisons
100, 4950
150, 11175
200, 19900
250, 31125
300, 44850
350, 61075
400, 79800
450, 101025
500, 124750
550, 150975
600, 179700
650, 210925
700, 244650
750, 280875
800, 319600
850, 360825
900, 404550
950, 450775
1000, 499500
