Number of elements, Time taken (seconds)
100, 0.000045
150, 0.000090
200, 0.000143
250, 0.000207
300, 0.000298
350, 0.000383
400, 0.000488
450, 0.000630
500, 0.000754
550, 0.000908
600, 0.001219
650, 0.001560
700, 0.001487
750, 0.001740
800, 0.001831
850, 0.002713
900, 0.002371
950, 0.002630
1000, 0.002954
