Number of elements, Number of comparisons
100, 9299
150, 22763
200, 39870
250, 62675
300, 89815
350, 122670
400, 159035
450, 203174
500, 250899
550, 302974
600, 359435
650, 422899
700, 490375
750, 563675
800, 640815
850, 723470
900, 811270
950, 900555
1000, 998155
