Number of elements, Number of comparisons
100000, 2007126
150000, 3023876
200000, 4344301
250000, 5582206
300000, 6533453
350000, 8151522
400000, 9752084
450000, 10368566
500000, 11845929
550000, 12862296
600000, 13888269
650000, 14949371
700000, 16876736
750000, 18258303
800000, 19271376
850000, 20332556
900000, 21565671
950000, 23325281
1000000, 25393887
